filename,width,height,class,xmin,ymin,xmax,ymax
0001.jpg,640,480,elephant,132,60,640,467
0002.jpg,640,480,elephant,12,1,639,479
0003.jpg,640,480,elephant,122,64,532,445
0004.jpg,640,480,elephant,50,2,483,416
0005.jpg,640,480,elephant,13,48,255,421
0005.jpg,640,480,elephant,321,59,570,416
0006.jpg,640,480,elephant,47,62,526,480
0007.jpg,640,480,elephant,52,142,389,459
0007.jpg,640,480,elephant,363,161,640,429
0007.jpg,640,480,elephant,2,121,248,410
0008.jpg,640,480,elephant,90,73,463,480
0008.jpg,640,480,elephant,189,1,640,464
0009.jpg,640,480,elephant,154,76,587,451
0010.jpg,640,480,elephant,49,113,640,478
0011.jpg,640,480,elephant,1,37,422,465
0011.jpg,640,480,elephant,278,96,529,458
0012.jpg,640,480,elephant,56,11,622,479
0013.jpg,640,480,elephant,32,5,622,474
0014.png,640,480,elephant,43,25,529,450
0015.jpg,640,480,elephant,187,155,347,367
0015.jpg,640,480,elephant,200,227,530,409
0016.jpg,640,480,elephant,63,205,379,436
0016.jpg,640,480,elephant,296,101,554,446
0017.jpg,640,480,elephant,174,55,574,403
0018.jpg,640,480,elephant,95,101,440,451
0019.jpg,640,480,elephant,1,246,189,406
0019.jpg,640,480,elephant,198,142,556,388
0019.jpg,640,480,elephant,267,230,516,400
0019.jpg,640,480,elephant,500,126,640,389
0020.jpg,900,599,elephant,101,105,641,515
0020.jpg,900,599,elephant,629,286,831,491
0021.JPG,640,480,elephant,205,213,609,434
0022.jpg,640,480,elephant,314,157,628,387
0022.jpg,640,480,elephant,1,176,193,392
0022.jpg,640,480,elephant,85,256,250,393
0022.jpg,640,480,elephant,215,278,305,389
0022.jpg,640,480,elephant,149,183,337,342
0023.jpg,640,480,elephant,56,28,600,453
0024.jpg,640,480,elephant,36,128,255,349
0024.jpg,640,480,elephant,195,137,490,373
0024.jpg,640,480,elephant,300,148,596,389
0025.jpg,640,480,elephant,434,104,640,428
0025.jpg,640,480,elephant,139,274,328,422
0025.jpg,640,480,elephant,1,160,130,417
0025.jpg,640,480,elephant,11,107,390,435
0026.jpg,640,480,elephant,35,101,596,413
0027.jpg,640,480,elephant,1,8,380,480
0027.jpg,640,480,elephant,271,2,639,479
0028.jpg,640,480,elephant,71,310,357,480
0028.jpg,640,480,elephant,323,63,613,479
0029.jpg,640,480,elephant,29,183,305,351
0029.jpg,640,480,elephant,305,160,571,358
0030.jpg,640,480,elephant,27,46,472,431
0031.jpg,640,480,elephant,87,8,640,479
0032.jpg,640,480,elephant,222,96,433,417
0033.jpg,640,480,elephant,10,97,169,377
0033.jpg,640,480,elephant,118,130,214,388
0033.jpg,640,480,elephant,175,130,333,460
0033.jpg,640,480,elephant,307,137,422,438
0033.jpg,640,480,elephant,339,96,606,449
0033.jpg,640,480,elephant,546,149,640,433
0034.jpg,640,480,elephant,1,97,322,351
0035.jpg,640,480,elephant,1,191,232,480
0035.jpg,640,480,elephant,95,177,432,479
0036.jpg,640,480,elephant,1,44,638,480
0037.jpg,640,480,elephant,137,121,477,357
0037.jpg,640,480,elephant,424,267,523,362
0038.jpg,640,480,elephant,71,257,257,395
0038.jpg,640,480,elephant,38,236,147,369
0038.jpg,640,480,elephant,328,293,419,368
0038.jpg,640,480,elephant,321,228,450,334
0038.jpg,640,480,elephant,416,249,511,368
0038.jpg,640,480,elephant,489,232,629,354
0039.jpg,640,480,elephant,8,133,264,336
0039.jpg,640,480,elephant,191,119,387,338
0039.jpg,640,480,elephant,289,139,640,378
0040.jpg,640,480,elephant,53,10,545,477
0041.jpg,640,480,elephant,46,1,638,479
0042.jpg,640,480,elephant,94,80,460,480
0043.jpg,640,480,elephant,1,1,254,394
0043.jpg,640,480,elephant,203,236,492,480
0043.jpg,640,480,elephant,423,2,640,477
0044.jpg,640,480,elephant,9,27,323,417
0044.jpg,640,480,elephant,211,211,406,480
0044.jpg,640,480,elephant,379,2,640,423
0044.jpg,640,480,elephant,232,48,406,378
0045.jpg,640,480,elephant,257,78,519,419
0045.jpg,640,480,elephant,143,76,401,333
0046.jpg,640,480,elephant,52,160,544,480
0047.jpg,640,480,elephant,232,1,566,480
0047.jpg,640,480,elephant,166,271,330,480
0047.jpg,640,480,elephant,30,41,337,457
0048.jpg,640,480,elephant,20,14,613,480
0049.jpg,640,480,elephant,112,40,640,474
0050.jpg,640,480,elephant,15,123,381,414
0051.jpg,640,480,elephant,72,15,484,479
0052.jpg,640,480,elephant,148,29,509,474
0053.jpg,640,480,elephant,78,119,255,318
0053.jpg,640,480,elephant,275,158,422,327
0053.jpg,640,480,elephant,417,180,548,334
0054.jpg,640,480,elephant,59,49,585,390
0055.jpg,640,480,elephant,253,180,520,412
0055.jpg,640,480,elephant,161,223,274,328
0055.jpg,640,480,elephant,62,64,204,257
0055.jpg,640,480,elephant,3,2,141,127
0056.jpg,640,480,elephant,95,14,493,479
